pr_number,id,author,state,body,createdAt
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MjQyMzYz,TimvdEijnden,COMMENTED,,2019-10-09T08:22:07Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTM4NjEw,yyx990803,CHANGES_REQUESTED,,2019-10-09T16:24:51Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTcyMDIy,TimvdEijnden,COMMENTED,,2019-10-09T17:22:43Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTcyMDU5,TimvdEijnden,COMMENTED,,2019-10-09T17:22:48Z
83,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzM2OTA1,rigor789,APPROVED,,2019-10-04T22:01:55Z
84,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgxNjYz,znck,APPROVED,,2019-10-05T08:17:13Z
85,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzY0Nzgx,NikitaIT,COMMENTED,,2019-10-05T00:33:48Z
85,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzg1MTcy,znck,COMMENTED,,2019-10-05T10:06:21Z
85,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzg1MTk1,znck,COMMENTED,,2019-10-05T10:06:50Z
85,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzg1MjUy,znck,CHANGES_REQUESTED,Please remove changes in `.spec.ts` file.,2019-10-05T10:08:26Z
87,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzczNTE4,thecrypticace,COMMENTED,,2019-10-05T03:45:20Z
87,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgxMjk4,znck,CHANGES_REQUESTED,Let’s create a spec file for every source file. And import from the source file (if from same package) relative path. ,2019-10-05T08:05:07Z
87,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzkzNTE0,yyx990803,CHANGES_REQUESTED,Let's nest tests for runtime helpers in a directory to match the structure of the source code.,2019-10-05T14:21:46Z
87,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA1NjY4,znck,CHANGES_REQUESTED,"Tests look good. 

Some suggestions on making test messages clear and concise. ",2019-10-05T19:33:37Z
87,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA5NDUw,znck,APPROVED,,2019-10-05T21:33:02Z
88,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgwOTMx,znck,APPROVED,,2019-10-05T07:54:25Z
88,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgzNDk5,znck,APPROVED,,2019-10-05T09:15:49Z
89,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzc3MTc0,thecrypticace,COMMENTED,,2019-10-05T05:57:06Z
89,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzc3Mjc4,thecrypticace,COMMENTED,,2019-10-05T06:00:12Z
89,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzc4NDAx,thecrypticace,COMMENTED,,2019-10-05T06:34:24Z
89,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzkzNjkx,yyx990803,COMMENTED,,2019-10-05T14:25:54Z
89,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzk1OTE2,thecrypticace,COMMENTED,,2019-10-05T15:24:22Z
89,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MTczNjIx,yyx990803,CHANGES_REQUESTED,,2019-10-07T14:33:12Z
89,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MTg5NzU1,thecrypticace,COMMENTED,,2019-10-07T14:54:09Z
91,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgwNzQ3,znck,APPROVED,,2019-10-05T07:49:24Z
92,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgwNzMw,znck,APPROVED,,2019-10-05T07:49:00Z
94,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgxNDcz,znck,APPROVED,,2019-10-05T08:10:55Z
95,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgxMzc4,znck,APPROVED,,2019-10-05T08:07:41Z
98,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzg1MDI2,znck,COMMENTED,,2019-10-05T10:02:34Z
98,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzkxMjY1,jesusantguerrero,COMMENTED,,2019-10-05T13:18:38Z
98,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODMzMDI1,jesusantguerrero,COMMENTED,,2019-10-06T11:27:51Z
98,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ4MzU2,znck,COMMENTED,,2019-10-06T16:43:10Z
99,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzg1MDc2,znck,CHANGES_REQUESTED,,2019-10-05T10:03:48Z
99,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzg1NjAz,himself65,COMMENTED,,2019-10-05T10:17:47Z
99,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzk0MzUy,yyx990803,CHANGES_REQUESTED,,2019-10-05T14:43:04Z
100,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzk0NTMx,yyx990803,CHANGES_REQUESTED,,2019-10-05T14:48:12Z
101,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3Nzg1MzY1,znck,APPROVED,,2019-10-05T10:11:10Z
105,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzkyODY1,yyx990803,CHANGES_REQUESTED,,2019-10-05T14:04:15Z
105,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzkzMDgw,yyx990803,APPROVED,,2019-10-05T14:10:27Z
111,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA2MDYz,yyx990803,COMMENTED,,2019-10-05T19:43:36Z
111,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA2MDgw,yyx990803,COMMENTED,,2019-10-05T19:44:10Z
113,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA1NDM3,himself65,APPROVED,,2019-10-05T19:27:17Z
114,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA0MDM0,CyberAP,COMMENTED,,2019-10-05T18:47:34Z
114,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA0MzE1,himself65,COMMENTED,,2019-10-05T18:55:01Z
114,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA0NTY2,CyberAP,COMMENTED,,2019-10-05T19:02:48Z
116,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA2Nzcz,znck,CHANGES_REQUESTED,,2019-10-05T20:06:40Z
116,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIwNjg2,TimvdEijnden,COMMENTED,,2019-10-06T06:02:48Z
116,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIwNjg5,TimvdEijnden,COMMENTED,,2019-10-06T06:02:54Z
116,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MjIzODYy,yyx990803,CHANGES_REQUESTED,,2019-10-07T15:39:58Z
119,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODA5OTg3,znck,COMMENTED,,2019-10-05T21:50:32Z
119,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODEwMDIx,kyle-hall,COMMENTED,,2019-10-05T21:51:32Z
119,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODEwMTEw,znck,COMMENTED,,2019-10-05T21:54:21Z
119,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODExMDYz,kyle-hall,COMMENTED,,2019-10-05T22:29:24Z
119,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODU0NDU2,znck,APPROVED,,2019-10-06T18:57:50Z
122,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIxMTYw,znck,APPROVED,,2019-10-06T06:21:31Z
123,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIxMjAz,znck,APPROVED,,2019-10-06T06:22:49Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIxMzEx,dsseng,COMMENTED,,2019-10-06T06:26:44Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIxNzA0,znck,CHANGES_REQUESTED,,2019-10-06T06:39:22Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIxNzYy,znck,APPROVED,,2019-10-06T06:41:34Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIxOTc1,znck,COMMENTED,,2019-10-06T06:48:38Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIyMDI3,pikax,COMMENTED,,2019-10-06T06:50:43Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIyMjE4,znck,COMMENTED,,2019-10-06T06:56:51Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIyMjIz,znck,COMMENTED,,2019-10-06T06:57:05Z
124,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIyMzgz,pikax,COMMENTED,,2019-10-06T07:01:52Z
125,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIxMjE5,dsseng,COMMENTED,,2019-10-06T06:23:19Z
125,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIyMDI1,znck,COMMENTED,,2019-10-06T06:50:36Z
125,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIyMTAz,dsseng,COMMENTED,,2019-10-06T06:53:13Z
125,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODMxMjgw,pikax,COMMENTED,,2019-10-06T10:51:29Z
125,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODMxMjg5,pikax,APPROVED,,2019-10-06T10:51:41Z
125,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ1ODY3,yyx990803,COMMENTED,,2019-10-06T15:50:12Z
125,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3OTI2ODc0,dsseng,COMMENTED,,2019-10-07T06:48:22Z
126,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODIwODc4,dsseng,APPROVED,,2019-10-06T06:10:16Z
129,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODMxNDQ3,znck,APPROVED,,2019-10-06T10:55:19Z
130,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ5OTg5,znck,CHANGES_REQUESTED,,2019-10-06T17:20:05Z
132,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODU1MjYy,znck,CHANGES_REQUESTED,Some of my comments on #130 apply here too.,2019-10-06T19:14:39Z
132,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODY5OTE0,yyx990803,CHANGES_REQUESTED,,2019-10-07T00:17:45Z
133,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MDkzOTM2,ZhangJian-3ti,COMMENTED,,2019-10-08T22:55:44Z
134,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODMxODAw,znck,APPROVED,,2019-10-06T11:03:04Z
136,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ0OTAw,yyx990803,APPROVED,,2019-10-06T15:29:55Z
136,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ0OTQw,yyx990803,CHANGES_REQUESTED,The literal is intentional to avoid the overhead of the spread. We should keep it.,2019-10-06T15:30:51Z
136,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ1NTY2,himself65,COMMENTED,,2019-10-06T15:43:29Z
136,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ1OTc1,yyx990803,CHANGES_REQUESTED,,2019-10-06T15:52:25Z
137,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODQ0NDA5,yyx990803,CHANGES_REQUESTED,,2019-10-06T15:19:23Z
137,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODYzNzY4,kana-sama,COMMENTED,,2019-10-06T22:10:52Z
137,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODY0MzI4,kana-sama,COMMENTED,,2019-10-06T22:24:04Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODU1NTgx,znck,COMMENTED,,2019-10-06T19:20:58Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODk3NTMz,CodeDaraW,COMMENTED,,2019-10-07T04:12:46Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NzIxODI0,znck,CHANGES_REQUESTED,I feel the `element.ts` should be better kept in runtime-dom.,2019-10-08T12:23:29Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NjA3NjQx,yyx990803,CHANGES_REQUESTED,,2019-10-09T18:23:17Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMDMzMTYx,CodeDaraW,COMMENTED,,2019-10-10T12:39:10Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMDMzMzM2,CodeDaraW,COMMENTED,,2019-10-10T12:39:27Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMDMzNjgx,CodeDaraW,COMMENTED,,2019-10-10T12:40:02Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMDM4NjM5,CodeDaraW,COMMENTED,,2019-10-10T12:48:11Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMDM4NzIy,CodeDaraW,COMMENTED,,2019-10-10T12:48:20Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMTgwOTYw,CodeDaraW,COMMENTED,,2019-10-10T15:59:45Z
139,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMTg0MDY2,yyx990803,COMMENTED,,2019-10-10T16:04:33Z
140,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODU0MDkx,znck,APPROVED,,2019-10-06T18:49:24Z
141,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4OTcxNzY0,yyx990803,CHANGES_REQUESTED,,2019-10-08T18:44:38Z
142,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3ODY5Mzc1,yyx990803,CHANGES_REQUESTED,,2019-10-07T00:08:20Z
146,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5Nzg5MTk0,yyx990803,CHANGES_REQUESTED,,2019-10-10T02:21:50Z
146,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMDM2ODUx,pikax,COMMENTED,,2019-10-10T12:45:18Z
146,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMTE2MTgy,yyx990803,COMMENTED,,2019-10-10T14:33:33Z
148,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NTA2Mzkw,znck,CHANGES_REQUESTED,Let’s implement this as directive/node transform. ,2019-10-08T02:35:07Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MzYzNzY2,sqal,COMMENTED,,2019-10-07T19:39:30Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NDA0Nzk1,CyberAP,COMMENTED,,2019-10-07T20:54:30Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NDI0OTk5,yyx990803,COMMENTED,,2019-10-07T21:34:28Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NDMxMjQx,CyberAP,COMMENTED,,2019-10-07T21:48:31Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MDYxMTE3,CyberAP,COMMENTED,,2019-10-08T21:28:36Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NDU4MDQy,yyx990803,COMMENTED,,2019-10-09T14:32:29Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NDYyMTMx,yyx990803,CHANGES_REQUESTED,,2019-10-09T14:37:38Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NDc2MTgx,CyberAP,COMMENTED,,2019-10-09T14:55:54Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NDc4NTMz,CyberAP,COMMENTED,,2019-10-09T14:58:47Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTQ3NjIy,yyx990803,CHANGES_REQUESTED,I think the implementation looks good now. Would you be interested in adding tests for this module? I think we can directly test the `patchEvent` function (`instance` can just be null since it's only used for error handling and that will be tested in error handling integration tests),2019-10-09T16:39:59Z
149,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTYwNDAy,CyberAP,COMMENTED,,2019-10-09T17:02:25Z
150,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NzQ1NTA5,pierrick-martin-dev,APPROVED,,2019-10-08T13:04:05Z
150,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4ODc3ODc0,yyx990803,CHANGES_REQUESTED,,2019-10-08T16:04:52Z
150,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MTQ3MTk2,himself65,APPROVED,,2019-10-09T02:55:09Z
153,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NTY2OTIy,Justineo,COMMENTED,,2019-10-08T07:08:28Z
155,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NzA3ODE3,znck,APPROVED,,2019-10-08T11:54:04Z
155,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NzI2MjMz,yyx990803,CHANGES_REQUESTED,,2019-10-08T12:31:55Z
156,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NzA3MTIy,znck,APPROVED,,2019-10-08T11:52:30Z
159,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4NzA2Njgy,znck,APPROVED,,2019-10-08T11:51:29Z
167,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTQwMTE5,yyx990803,COMMENTED,,2019-10-09T16:27:22Z
167,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTQwMjQ3,yyx990803,COMMENTED,,2019-10-09T16:27:35Z
173,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MzMxNzg0,Justineo,COMMENTED,,2019-10-09T11:05:53Z
173,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MzM0MzY4,hua1995116,COMMENTED,,2019-10-09T11:11:43Z
173,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MzQ1NDkz,Justineo,APPROVED,,2019-10-09T11:36:15Z
174,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTQxNzQy,yyx990803,CHANGES_REQUESTED,,2019-10-09T16:29:51Z
174,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5Nzg3MDc3,yyx990803,COMMENTED,,2019-10-10T02:11:37Z
174,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5Nzg3MTMz,yyx990803,COMMENTED,,2019-10-10T02:11:56Z
174,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5Nzg3Njcw,yyx990803,CHANGES_REQUESTED,"- Let's rename `ctx` to `instance` and give it proper typing.
- Keep the assignment of `renderProxy` consistent, we should assign it from `this` in all tests.",2019-10-10T02:14:25Z
175,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5MzgyNzc2,laquasicinque,COMMENTED,,2019-10-09T12:46:59Z
175,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5Mzg1NTM0,PxyUp,COMMENTED,,2019-10-09T12:51:24Z
175,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NDE1MTM0,laquasicinque,COMMENTED,,2019-10-09T13:36:00Z
175,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NDM1ODQ4,PxyUp,COMMENTED,,2019-10-09T14:04:03Z
177,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5NTUyNDg3,yyx990803,CHANGES_REQUESTED,,2019-10-09T16:48:37Z
179,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5ODQ2MzMy,himself65,COMMENTED,"I think It would be nice if like this 

```ts
  it('lazy', () => {
    const obj = reactive({ foo: 1 })
    let dummy
    const runner = effect(() => (dummy = obj.foo), { lazy: true })
    expect(dummy).toBe(undefined)

    expect(runner()).toBe(1)
    expect(dummy).toBe(1)
    obj.foo = 2
    expect(dummy).toBe(2)
  })
```",2019-10-10T06:39:43Z
180,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5ODU1NTA4,himself65,CHANGES_REQUESTED,,2019-10-10T07:04:42Z
180,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk5ODU3NjQ5,wuomzfx,COMMENTED,,2019-10-10T07:10:06Z
180,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMDk3MzIz,yyx990803,CHANGES_REQUESTED,,2019-10-10T14:10:07Z
180,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMTU5NzE3,wuomzfx,COMMENTED,,2019-10-10T15:30:15Z
187,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMTA5MTA4,yyx990803,CHANGES_REQUESTED,,2019-10-10T14:24:46Z
187,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMTExODYy,xanf,COMMENTED,,2019-10-10T14:28:09Z
187,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMTE5OTE1,xanf,COMMENTED,,2019-10-10T14:38:29Z
189,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMjQ2ODQ2,yyx990803,CHANGES_REQUESTED,,2019-10-10T17:53:19Z
193,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwMjY0Mjk0,dsseng,APPROVED,,2019-10-10T18:22:28Z
199,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwNzA5MzYw,yyx990803,COMMENTED,,2019-10-11T14:06:57Z
200,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwNzA2NTkw,yyx990803,COMMENTED,,2019-10-11T14:02:41Z
203,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzAwNzQyODA4,yyx990803,CHANGES_REQUESTED,,2019-10-11T14:56:21Z
